ASSET,BKPREM,CHBAL,DEP,DEPDOM,EINTEXP,ELNATR,EQ,FREPO,INTAN,INTINC,LIAB,LNAG,LNATRES,LNAUTO,LNCI,LNCON,LNDEP,LNLSGR,LNLSNET,LNMUNI,LNRE,LNREAG,LNRECONS,LNREMULT,LNRENRES,LNRERES,NETINC,NIMY,NONII,NONIX,NUMEMP,ORE,ROA,ROE,SC,SCMUNI,SCUS,TRADE
60862,108,806,53863,53863,226,6,6781,292,0,889,54081,9186,581,2663,14434,2919,0,37708,37127,0,11168,2197,0,0,8928,43,196,4.410847491455231,24,440,8,0,1.2430139918347933,11.5,20706,8408,7998,0
348313,10103,17762,310986,310986,1227,75,28460,0,1258,4829,319853,38673,2834,1359,36283,3197,0,225540,222706,217,147170,27780,37935,4800,31567,45088,1232,4.472311894710703,479,2654,72,0,1.396629441164009,17.46,85009,31477,39251,0
433795,9061,7700,393449,393449,882,1,38272,380,0,4913,395523,40,3757,0,35477,36,0,184187,180430,0,148558,957,14320,7224,120882,5175,1145,3.9090711834492393,636,3521,91,460,1.0535917010099987,12.12,227518,114572,44634,0
718474,4194,56059,591135,591135,2615,-232,37945,0,273,8684,680529,3235,1700,490,131210,23377,0,238869,237169,11309,60323,600,4029,0,36989,18705,3590,3.6547251278160173,753,3464,81,0,2.073234556315533,38.69,405437,156861,242495,0
427985,4189,33836,361437,361437,1013,176,59589,0,0,5474,368396,1858,3540,65,52915,1312,0,271625,268085,11,215502,0,7899,31401,132519,43683,728,4.4260892212672545,896,4255,85,0,0.6791123963665621,4.89,103552,12680,88940,0
122538,437,11849,117615,117615,485,0,4314,3143,0,1153,118224,3385,802,1623,5418,3254,0,32056,31254,6678,13316,2269,316,0,7406,3325,286,2.254766696623335,128,510,21,0,0.9123789243658608,26.03,72816,18094,54217,0
17470,54,4288,15180,15180,70,0,2228,2932,0,242,15242,4811,101,75,1602,237,0,6666,6565,0,0,0,0,0,0,0,39,4.40771349862259,10,143,4,0,0.8939315798521575,7.06,3213,1977,1236,0
516872,4412,34604,399637,399637,3978,156,47154,0,0,8322,469718,94843,3606,410,14930,1116,0,463250,459644,368,351834,62280,16256,48798,178090,46410,1322,3.5941297535447974,309,3175,68,0,1.043981264405826,11.64,2586,0,1318,0
21180,136,2321,16912,16912,70,0,3422,0,0,319,17758,5944,356,0,4701,706,0,14292,13936,0,2941,757,372,0,1812,0,109,4.768744613616777,12,152,6,0,1.9600791224599894,12.43,4326,3077,500,0
103415,530,2176,84789,84789,374,9,15295,16313,0,1666,88120,644,512,441,261,2779,0,65734,65222,166,61880,2883,37299,0,2461,19237,865,5.202230677860321,223,641,14,0,3.3360330132284317,22.53,17063,206,16857,0
1224490,40190,70183,929041,929041,5983,0,135322,0,856,18184,1089168,2040,7134,702,25540,4286,0,936011,928877,177,796087,98762,188592,2126,176697,329910,4083,4.262045404529275,849,7914,152,4103,1.3394559669843624,12.17,162393,58978,96976,0
335057,7023,25825,291727,291727,1358,138,28280,1000,0,4502,306777,1418,2785,1058,35114,2644,0,210071,207286,725,170142,4402,47924,6564,72107,39145,822,4.111476728276701,235,2211,49,350,1.0185163673535766,11.68,85708,1067,81007,0
